Label,QualifiedApiName
# Lodging : Rental,Num_Lodging_Cabins__c
# Non-Powered : Rental,Num_Non_Powered__c
# Rack Storage,Num_Rack_Storage_Valet__c
# Snowmobiles : Rental,Num_Snowmobiles__c
# Technicians,Num_Technicians__c
# Slips,Num_Wet_Slips__c
# Work Orders,Num_Work_Orders__c
Partner Call Cadence,Partner_Call_Cadence__c
Qualified,Qualified__c
Reference Type?,Reference_Type__c
Reference for Sales - Molo,Reference_for_Sales_Molo__c
Referral Partner Type,Referral_Partner_Type__c
dL Cross-sell Opp Monthly DMS Rev,dL_CrossSell_Opp_DMS__c
Service App,Service_App__c
dL Crosssell Opp Monthly Marketplace Rev,dL_CrossSell_Opp_Marketplace__c
Software Usage (Marine Boat Club),Software_Usage_Marine_Boat_Club__c
Software Usage (Marine Boat Sales),Software_Usage_Marine_Boat_Sales__c
Software Usage (Marine Rentals),Software_Usage_Marine_Rentals__c
Software Usage (Marine Service),Software_Usage_Marine_Service__c
Software Usage (Marine Storage),Software_Usage_Marine_Storage__c
X - Software Usage (RV/Campsite),Software_Usage_RV_Campsite__c
dL Cross-sell Opp Monthly Payments Rev,dL_CrossSell_Opp_Payments__c
dL Cross-sell Opp Mo Performance Rev,dL_CrossSell_Opp_Performance__c
dL Cross-sell Opp Monthly Software,dL_CrossSell_Opp_Software__c
Video Testimonial Candidate?,Video_Testimonial_Candidate__c
XeroID,XeroID__c
# of Google Reviews,of_Google_Reviews__c
# of Locations - Rentals,of_Locations_Rentals__c
# of Locations - Slips,of_Locations_Slips__c
# of Powerboats across all Locations,of_Powerboats_across_all_Locations__c
# of Slips across all Locations,of_Slips_across_all_Locations__c
Marine Current Vendors,Marine_Current_Vendors__c
# of Boats,of_Boats__c
# of Spaces,of_Spaces__c
Annual Fuel Sales Revenue,Annual_Fuel_Sales_Revenue__c
Marine Hubspot Parent ID,Marine_Hubspot_Parent_ID__c
Stellar Property ID,Marine_Tenant_ID__c
Stellar Company ID,Marine_Tenant__c
Marine ZCRM ID,Marine_ZCRM_ID__c
Marine Zoho Parent ID,Marine_Zoho_Parent_ID__c
Software Usage (Marine - POS),Software_Usage_Marine_POS__c
Municipality,Municipality__c
HubSpot,Marine_Hubspot_Link__c
Transient Reservation,Transient_Reservation__c
PCI Parent ID,PCI_Parent_ID__c
YayPay Statement Link,YayPay_Statement_Link__c
dl Count of Live ESS Tenant Protection S,dl_Count_of_Live_ESS_Tenant_Protection_S__c
X - dL Count of Live Leads SFDC Assets,dl_Count_of_Live_Leads_SFDC_Assets__c
Marine Zipcode Group,Marine_Zipcode_Group__c
Sitelink YayPay Statement Link,Sitelink_YayPay_Statement_Link__c
Stellar YayPay Statement Link,Stellar_YayPay_Statement_Link__c
StorEDGE Yaypay Statement Link,StorEdge_Yaypay_Statement_Link__c
dL Cross-sell Opp Mo TenantInsurance Rev,dL_CrossSell_Opp_TenantInsurance__c
dL Cross-sell Opp Monthly Websites,dL_CrossSell_Opp_Websites__c
dL DMS Avg Rev Per Month,dL_DMS_Avg_Rev_Per_Month__c
dL Performance Avg Rev Per Month,dL_Performance_Avg_Rev_Per_Month__c
# of Units (CORP),of_Units_CORP__c
Cancelled PMS Assets,Cancelled_PMS_Assets__c
Cancelled SE Web Assets,Cancelled_SE_Web_Assets__c
Director of CS,Client_Account_Director__c
Access,ID_Summary_Access__c
Total Live Properties,Total_Live_Facilities__c
Account Category,Account_Category__c
Property Street,ShippingStreet__c
Property City,ShippingCity__c
Property Region,ShippingRegion__c
Property Postal Code,ShippingPostalCode__c
Property Country,ShippingCountry__c
Billing Verification Used,smartystreets__BillingVerificationUsed__c
Billing Address Status,smartystreets__Billing_Address_Status__c
Billing Clean Street,smartystreets__Billing_Clean_Street__c
Billing Do Not Verify,smartystreets__Billing_Do_Not_Verify__c
Billing Footnotes,smartystreets__Billing_Footnotes__c
Billing Last Verified,smartystreets__Billing_Last_Verified__c
Billing Address Latitude,smartystreets__Billing_Latitude__c
Billing Address Longitude,smartystreets__Billing_Longitude__c
Billing Return Code,smartystreets__Billing_Return_Code__c
Billing Verified,smartystreets__Billing_Verified__c
In Batch,smartystreets__In_Batch__c
Shipping Verification Used,smartystreets__ShippingVerificationUsed__c
Shipping Address Status,smartystreets__Shipping_Address_Status__c
Shipping Clean Street,smartystreets__Shipping_Clean_Street__c
Shipping Do Not Verify,smartystreets__Shipping_Do_Not_Verify__c
Shipping Footnotes,smartystreets__Shipping_Footnotes__c
Shipping Last Verified,smartystreets__Shipping_Last_Verified__c
Shipping Address Latitude,smartystreets__Shipping_Latitude__c
Shipping Address Longitude,smartystreets__Shipping_Longitude__c
Shipping Return Code,smartystreets__Shipping_Return_Code__c
Shipping Verified,smartystreets__Shipping_Verified__c
Active Job Id,Active_Job_Id__c
Storable Paid EMV,Storable_Paid_EMV__c
Live ESS FMS Assets,Live_ESS_FMS_Assets__c
Live ESS FMS Properties,Live_ESS_FMS_Facilities__c
Account Shared Key,Account_Shared_Key__c
ESS Account Comments,ESS_Account_Comments__c
ESS Account Notes,ESS_Account_Notes__c
Date/Time Last Data Lake Sync,DataLakeSyncDate__c
Account Digital Marketing Owner,Account_Digital_Marketing_Owner__c
Cancelled SF Assets,Cancelled_SF_Assets__c
Cancelled SF Properties,Cancelled_SF_Facilities__c
Cancelled SLMS Assets,Cancelled_SLMS_Assets__c
Cancelled SLMS Properties,Cancelled_SLMS_Facilities__c
Cancelled SLWE Assets,Cancelled_SLWE_Assets__c
Cancelled SLWE Properties,Cancelled_SLWE_Facilities__c
Cancelled SMS Assets,Cancelled_SMS_Assets__c
Cancelled SMS Properties,Cancelled_SMS_Facilities__c
Cancelled SP Assets,Cancelled_SP_Assets__c
Cancelled SP Properties,Cancelled_SP_Facilities__c
Cancelled TPP Assets,Cancelled_TPP_Assets__c
Cancelled TPP Properties,Cancelled_TPP_Facilities__c
Live ESS CA Assets,Live_ESS_CA_Assets__c
Live ESS CA Properties,Live_ESS_CA_Facilities__c
Live ESS SEO Assets,Live_ESS_SEO_Assets__c
Live ESS SEO Properties,Live_ESS_SEO_Facilities__c
Live TPP Assets,Live_TPP_Assets__c
Live TPP Properties,Live_TPP_Facilities__c
Live PMS Properties,of_Accounts_with_FMS_CORP__c
Storable HubSpot ID,HubSpot_Company_ID__c
ACH Transaction Fee,ACHTransactionFee__c
Amex Discount Rate,AMEXDiscountRate__c
Amex Transaction Fee,AMEXTransactionFee__c
Annual Fee,AnnualFee__c
Discount Rate,DiscountRate__c
Monthly Fee,MonthlyFee__c
Payment Family,Payment_Family__c
Pricing Type,Pricing_Type__c
CC Transaction Fee,TransactionFee__c
PDK RMA Rollup Count,PDKRMARollupCount__c
Ultimate Parent,dupcheck__dc3UltimateParent__c
# of RMA Automation Emails Sent,of_RMA_Automation_Emails_Sent__c
Admin Address Override,Admin_Address_Override__c
Confluence Documentation,Confluence_Documentation__c
Quick Links,Account_Links__c
Initial Sitelink Order,Initial_Sitelink_Order__c
Initial Sparefoot Order,Initial_Sparefoot_Order__c
Initial StorEDGE Order,Initial_StorEDGE_Order__c
NetSuite ID,NetSuite_ID__c
NetSuite Sync Time,NetSuite_Sync_Time__c
Property Address Verification Status,Site_Address_Verification_Status__c
Unmanned Property?,Unmanned_Location__c
PCI Annual Fee,PCI_Annual_Fee__c
Hierarchy Level,Hierarchy_Level__c
Describe,rh2__Describe__c
Insurance Corporate URL,Zoho_Corporate_URL__c
Insurance Account ID,Zoho_ID__c
Insurance Account URL,Zoho_URL__c
Insurance,Insurance__c
Details,Type_and_Owner__c
Merchant Services Rate Lock,Merchant_Services_Rate_Lock__c
SE Company ID,SE_Company_ID__c
Insurance ZCRM ID,Insurance_ZCRM_ID__c
Property Address & Phone,Site_Address_Phone__c
Workato Validation Bypass,Workato_Validation_Bypass__c
