Label,QualifiedApiName
Cirrus Files Folder Name,Cirrus_Files_Folder_Name__c
# of Churned Club Units (License Fee),of_Churned_Club_Units_License_Fee__c
National Check,National_Check__c
# of Churned Marina Units (License Fee),of_Churned_Marina_Units_License_Fee__c
X - Merchant ID (Old),Merchant_ID__c
Opportunities,Opportunities__c
Merchant Service Rep,Merchant_Service_Rep__c
# of Churned Marine DMS,of_Churned_Marine_DMS__c
# of Churned Marine Website,of_Churned_Marine_Website__c
Converted To Customer Onboarding Date,Converted_To_Customer_Onboarding_Date__c
Record Type Check,Record_Type_Check__c
Current Payment Provider,Current_Payment_Provider__c
# of Churned Molo Service & Integration,of_Churned_Molo_Service_Integration__c
Corp/Loc2,Corp_Loc2__c
Merchant Services Account Status,Merchant_Services_Account_Status__c
# of Churned Molo Service Management,of_Churned_Molo_Service_Management__c
# of Locations - Boat Club,of_Locations_Boat_Club__c
# of Churned RentalUnits Convenience Fee,of_Churned_RentalUnits_Convenience_Fee__c
# of Churned Rental Units (License Fee),of_Churned_Rental_Units_License_Fee__c
# of Live Club Units (License Fee),of_Live_Club_Units_License_Fee__c
# of Live Marina Units (License Fee),of_Live_Marina_Units_License_Fee__c
# of Live Marine DMS,of_Live_Marine_DMS__c
# of Live Marine Website,of_Live_Marine_Website__c
# of Live Molo Service & Integration,of_Live_Molo_Service_Integration__c
SS Names,SS_Names__c
# of Live Molo Service Management,of_Live_Molo_Service_Management__c
# of Live Rental Units Convenience Fee,of_Live_Rental_Units_Convenience_Fee__c
# of Live Rental Units (License Fee),of_Live_Rental_Units_License_Fee__c
Case Safe Account Id,Case_Safe_Account_Id__c
Parent Account ID (18 Digit),Case_Safe_Parent_Account_Id__c
Ship Store,Ship_Store__c
Property Contact,Site_Contact__c
Insurance Tax,Insurance_Tax__c
Merchandise Tax,Merchandise_Tax__c
Unit Rent Tax Rate,Unit_Rent_Tax_Rate__c
# Units Rented,Units_Rented__c
Billing Address,Billing_Address__c
Property Address,Shipping_Address__c
Parent Account Name,Parent_Account_Name__c
Merchant Notes,MerchantServicesNotes__c
Molo YayPay Statement Link,Molo_YayPay_Statement_Link__c
